Sample,Family,Genus,Species,Species_name,Abundance
12,Glomeraceae,Glomus,VTX00399,VTX00399,0
12,Diversisporaceae,Diversispora,VTX00401,VTX00401,0
12,Claroideoglomeraceae,Claroideoglomus,VTX00402,VTX00402,0
12,Glomeraceae,Glomus,VTX00407,VTX00407,0
12,Glomeraceae,Glomus,VTX00409,VTX00409,3
12,Glomeraceae,Glomus,VTX00411,VTX00411,0
12,Glomeraceae,Glomus,VTX00412,VTX00412,6
12,Glomeraceae,Glomus,VTX00415,VTX00415,0
12,Glomeraceae,Glomus,VTX00418,VTX00418,915
12,Glomeraceae,Glomus,VTX00419,VTX00419,2
12,Glomeraceae,Glomus,VTX00420,VTX00420,0
12,Glomeraceae,Glomus,VTX00423,VTX00423,1
12,Paraglomeraceae,Paraglomus,VTX00435,VTX00435,0
12,Glomeraceae,Glomus,VTX00437,VTX00437,0
12,Paraglomeraceae,Paraglomus,VTX00446,VTX00446,0
16,Unassigned,Unassigned,Unassigned,Unassigned,0
16,Gigasporaceae,Scutellospora,VTX00052,VTX00052,4
16,Claroideoglomeraceae,Claroideoglomus,VTX00056,VTX00056,0
16,Claroideoglomeraceae,Claroideoglomus,VTX00057,VTX00057,0
16,Diversisporaceae,Diversispora,VTX00058,VTX00058,1
16,Diversisporaceae,Diversispora,VTX00062,VTX00062,0
16,Glomeraceae,Glomus,VTX00063,VTX00063,117
16,Glomeraceae,Glomus,VTX00064,VTX00064,4
16,Glomeraceae,Glomus,VTX00077,VTX00077,9
16,Glomeraceae,Glomus,VTX00085,VTX00085,0
16,Glomeraceae,Glomus,VTX00089,VTX00089,0
16,Glomeraceae,Glomus,VTX00092,VTX00092,0
16,Glomeraceae,Glomus,VTX00099,VTX00099,0
16,Glomeraceae,Glomus,VTX00100,VTX00100,0
16,Glomeraceae,Glomus,VTX00101,VTX00101,0
16,Glomeraceae,Glomus,VTX00104,VTX00104,0
16,Glomeraceae,Glomus,VTX00108,VTX00108,0
16,Glomeraceae,Glomus,VTX00109,VTX00109,10
16,Glomeraceae,Glomus,VTX00111,VTX00111,0
16,Glomeraceae,Glomus,VTX00112,VTX00112,0
16,Glomeraceae,Glomus,VTX00113,VTX00113,0
16,Glomeraceae,Glomus,VTX00114,VTX00114,13
16,Glomeraceae,Glomus,VTX00121,VTX00121,0
16,Glomeraceae,Glomus,VTX00122,VTX00122,2
16,Glomeraceae,Glomus,VTX00124,VTX00124,0
16,Glomeraceae,Glomus,VTX00130,VTX00130,215
16,Glomeraceae,Glomus,VTX00132,VTX00132,0
16,Glomeraceae,Glomus,VTX00135,VTX00135,0
16,Glomeraceae,Glomus,VTX00137,VTX00137,0
16,Glomeraceae,Glomus,VTX00143,VTX00143,0
16,Glomeraceae,Glomus,VTX00146,VTX00146,0
16,Glomeraceae,Glomus,VTX00149,VTX00149,0
16,Glomeraceae,Glomus,VTX00151,VTX00151,5
16,Glomeraceae,Glomus,VTX00154,VTX00154,0
16,Glomeraceae,Glomus,VTX00155,VTX00155,0
16,Glomeraceae,Glomus,VTX00156,VTX00156,10
16,Glomeraceae,Glomus,VTX00167,VTX00167,0
16,Glomeraceae,Glomus,VTX00174,VTX00174,2
16,Glomeraceae,Glomus,VTX00175,VTX00175,0
16,Glomeraceae,Glomus,VTX00177,VTX00177,0
16,Glomeraceae,Glomus,VTX00178,VTX00178,0
16,Glomeraceae,Glomus,VTX00183,VTX00183,0
16,Glomeraceae,Glomus,VTX00191,VTX00191,0
16,Claroideoglomeraceae,Claroideoglomus,VTX00193,VTX00193,0
16,Glomeraceae,Glomus,VTX00194,VTX00194,5
16,Glomeraceae,Glomus,VTX00197,VTX00197,0
16,Glomeraceae,Glomus,VTX00206,VTX00206,0
16,Glomeraceae,Glomus,VTX00209,VTX00209,0
16,Glomeraceae,Glomus,VTX00212,VTX00212,0
16,Glomeraceae,Glomus,VTX00213,VTX00213,19
16,Glomeraceae,Glomus,VTX00214,VTX00214,0
16,Glomeraceae,Glomus,VTX00216,VTX00216,0
16,Glomeraceae,Glomus,VTX00222,VTX00222,0
16,Acaulosporaceae,Acaulospora,VTX00231,VTX00231,2
16,Glomeraceae,Glomus,VTX00233,VTX00233,0
16,Glomeraceae,Glomus,VTX00234,VTX00234,0
16,Glomeraceae,Glomus,VTX00235,VTX00235,2
16,Claroideoglomeraceae,Claroideoglomus,VTX00237,VTX00237,0
16,Paraglomeraceae,Paraglomus,VTX00238,VTX00238,5
16,Glomeraceae,Glomus,VTX00247,VTX00247,0
16,Glomeraceae,Glomus,VTX00248,VTX00248,0
16,Gigasporaceae,Scutellospora,VTX00255,VTX00255,0
16,Gigasporaceae,Scutellospora,VTX00260,VTX00260,0
16,Diversisporaceae,Diversispora,VTX00263,VTX00263,4
16,Claroideoglomeraceae,Claroideoglomus,VTX00276,VTX00276,197
16,Paraglomeraceae,Paraglomus,VTX00281,VTX00281,1
16,Glomeraceae,Glomus,VTX00287,VTX00287,5
16,Glomeraceae,Glomus,VTX00294,VTX00294,0
