"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Chloroflexota",0.0246006917913915,0.31857351363518,0.0178507242023913,1.37813410327049,0.0838710650614827,0.0348309794910991,31,0.984986561668471,0.001,"Chloroflexota","Cuba8_Control",0.0838710650614827,0.0348309794910991,"AMF",0.0246006917913915
"Chrysiogenota",0,0.31857351363518,0,NA,0,0,28,0.987416698048472,NA,"Chrysiogenota","Cuba8_Control",0,0,"Control",0
"Coprothermobacterota",2.26791424460909e-06,0.31857351363518,3.25813184192185e-06,0.696078106916426,3.67995806144314e-06,1.8268846003469e-06,44,0.989055710077002,0.4,"Coprothermobacterota","Cuba8_Control",3.67995806144314e-06,1.8268846003469e-06,"AMF",2.26791424460909e-06
"Cyanobacteriota",0.02860950048785,0.31857351363518,0.0452346740903355,0.632468367755136,0.0402954095641178,0.0486263040071703,10,0.990605146688116,0.504,"Cyanobacteriota","Cuba8_Control",0.0402954095641178,0.0486263040071703,"Control",-0.02860950048785
"Deferribacterota",3.68665683737519e-06,0.31857351363518,2.93447564561968e-06,1.25632558678014,8.00669359993762e-06,3.26198545587238e-06,24,0.992128539253845,0.998,"Deferribacterota","Cuba8_Control",8.00669359993762e-06,3.26198545587238e-06,"AMF",3.68665683737519e-06
"Deinococcota",7.60501870033005e-05,0.31857351363518,7.54691483890439e-05,1.00769902174146,0.000252706805256729,0.000237686130554856,50,0.993578724110078,0.982,"Deinococcota","Cuba8_Control",0.000252706805256729,0.000237686130554856,"AMF",7.60501870033005e-05
"Dictyoglomota",1.91031902197764e-06,0.31857351363518,1.94332160899852e-06,0.983017434238336,3.44510874943578e-06,1.87824871227689e-06,47,0.994605552091106,0.054,"Dictyoglomota","Cuba8_Control",3.44510874943578e-06,1.87824871227689e-06,"AMF",1.91031902197764e-06
"Elusimicrobiota",0.00014764267790622,0.31857351363518,0.000138911752826441,1.06285231380449,0.000327733782024696,9.94336655498109e-05,1,0.99534146285665,0.566,"Elusimicrobiota","Cuba8_Control",0.000327733782024696,9.94336655498109e-05,"AMF",0.00014764267790622
"Fibrobacterota",0.000485312522310169,0.31857351363518,0.00036573185105281,1.3269626938784,0.00120356767627921,0.000441224177602551,41,0.995976425283052,0.42,"Fibrobacterota","Cuba8_Control",0.00120356767627921,0.000441224177602551,"AMF",0.000485312522310169
"Fidelibacterota",3.61624379543202e-05,0.31857351363518,2.82523403991221e-05,1.27998025804064,0.00011674630316401,7.86563256688382e-05,23,0.996439874601928,0.678,"Fidelibacterota","Cuba8_Control",0.00011674630316401,7.86563256688382e-05,"AMF",3.61624379543202e-05
"Fusobacteriota",6.76480433049692e-06,0.31857351363518,4.76341260541776e-06,1.42015922005221,1.51061641313457e-05,1.81010257135504e-05,42,0.996900130152941,0.686,"Fusobacteriota","Cuba8_Control",1.51061641313457e-05,1.81010257135504e-05,"Control",-6.76480433049692e-06
"Gemmatimonadota",0.0094821369112394,0.31857351363518,0.00527867117631358,1.79631134323873,0.0307325260808829,0.0144539409424644,15,0.997312243382809,0.569,"Gemmatimonadota","Cuba8_Control",0.0307325260808829,0.0144539409424644,"AMF",0.0094821369112394
"Ignavibacteriota",0.000774177085189505,0.31857351363518,0.0010172186377432,0.761072454302541,0.00060425272708474,0.0020107078262666,36,0.99768652498704,0.069,"Ignavibacteriota","Cuba8_Control",0.00060425272708474,0.0020107078262666,"Control",-0.000774177085189505
"Kiritimatiellota",1.90127713718925e-05,0.31857351363518,1.42048575239956e-05,1.33846969881783,4.58193733026261e-05,1.22586225912781e-05,14,0.998015821392186,0.486,"Kiritimatiellota","Cuba8_Control",4.58193733026261e-05,1.22586225912781e-05,"AMF",1.90127713718925e-05
"Lentisphaerota",1.7169426963452e-05,0.31857351363518,1.27526244697615e-05,1.3463445900225,5.00965109935377e-05,2.91899295445983e-05,34,0.998326017401674,0.436,"Lentisphaerota","Cuba8_Control",5.00965109935377e-05,2.91899295445983e-05,"AMF",1.7169426963452e-05
"Methanobacteriota",0.00142333332309378,0.31857351363518,0.00205094543788624,0.69398887791023,0.000707644845234399,0.00335929788898879,32,0.998597372137612,0.019,"Methanobacteriota","Cuba8_Control",0.000707644845234399,0.00335929788898879,"Control",-0.00142333332309378
"Mycoplasmatota",8.64464316690853e-05,0.31857351363518,6.43938645551083e-05,1.34246379319422,0.00031696940573658,0.000367597009157547,21,0.998836093135273,0.727,"Mycoplasmatota","Cuba8_Control",0.00031696940573658,0.000367597009157547,"Control",-8.64464316690853e-05
"Myxococcota",0.0159297197970166,0.31857351363518,0.0136303048544948,1.16869871709168,0.040157736871825,0.0289033632831435,52,0.99905503501844,0.539,"Myxococcota","Cuba8_Control",0.040157736871825,0.0289033632831435,"AMF",0.0159297197970166
"Nanobdellota",9.88202326581992e-05,0.31857351363518,7.06622220358215e-05,1.39848747762423,0.000334662894270814,0.000158630335251141,48,0.999261577494743,0.142,"Nanobdellota","Cuba8_Control",0.000334662894270814,0.000158630335251141,"AMF",9.88202326581992e-05
"Nitrososphaerota",0.00353776933088073,0.31857351363518,0.00307299738091259,1.15124384838562,0.00728762337213261,0.00870089323577412,9,0.99943799069282,0.587,"Nitrososphaerota","Cuba8_Control",0.00728762337213261,0.00870089323577412,"Control",-0.00353776933088073
"Nitrospinota",0.00011923620574889,0.31857351363518,8.55777885888307e-05,1.39330786311592,0.0003687653499994,0.000250972163525804,25,0.999551504329097,0.961,"Nitrospinota","Cuba8_Control",0.0003687653499994,0.000250972163525804,"AMF",0.00011923620574889
"Nitrospirota",0.00338709951011961,0.31857351363518,0.00272038643831364,1.24508028066015,0.00945577727712323,0.00595127083544773,13,0.999648054336023,0.917,"Nitrospirota","Cuba8_Control",0.00945577727712323,0.00595127083544773,"AMF",0.00338709951011961
"Planctomycetota",0.0228787987292978,0.31857351363518,0.0207958133502579,1.10016368890972,0.067311640657412,0.0270877779122109,12,0.999716282932244,0.004,"Planctomycetota","Cuba8_Control",0.067311640657412,0.0270877779122109,"AMF",0.0228787987292978
"Promethearchaeota",4.02868143893554e-06,0.31857351363518,3.1685174239809e-06,1.27147207979495,9.54989634942348e-06,7.38183580488526e-06,29,0.999775963886743,0.409,"Promethearchaeota","Cuba8_Control",9.54989634942348e-06,7.38183580488526e-06,"AMF",4.02868143893554e-06
"Pseudomonadota",0.0284529184776635,0.31857351363518,0.0224264170520306,1.26872332801317,0.245344245659643,0.231759438337991,30,0.999829858596217,0.549,"Pseudomonadota","Cuba8_Control",0.245344245659643,0.231759438337991,"AMF",0.0284529184776635
"Rhodothermota",0.00020228221120495,0.31857351363518,0.000175604780862102,1.15191744901181,0.000622821698956759,0.000254682798349121,6,0.999875402005655,0.356,"Rhodothermota","Cuba8_Control",0.000622821698956759,0.000254682798349121,"AMF",0.00020228221120495
"Spirochaetota",0.000146625228056349,0.31857351363518,7.35314186280442e-05,1.99404867731502,0.000467938209473693,0.000178763433419216,4,0.999903595438948,0.001,"Spirochaetota","Cuba8_Control",0.000467938209473693,0.000178763433419216,"AMF",0.000146625228056349
"Synergistota",8.03022124389725e-06,0.31857351363518,5.59732110850587e-06,1.43465437987723,2.23279968140573e-05,1.50625694698538e-05,43,0.999928802246483,0.515,"Synergistota","Cuba8_Control",2.23279968140573e-05,1.50625694698538e-05,"AMF",8.03022124389725e-06
"Thermodesulfobacteriota",0.00052214582081907,0.31857351363518,0.000301471537818789,1.73199043795944,0.00172572925101964,0.000742705939035426,26,0.9999500369193,1,"Thermodesulfobacteriota","Cuba8_Control",0.00172572925101964,0.000742705939035426,"AMF",0.00052214582081907
"Thermodesulfobiota",0,0.31857351363518,0,NA,0,0,39,0.999962682921766,NA,"Thermodesulfobiota","Cuba8_Control",0,0,"Control",0
"Thermomicrobiota",0.0044772166267714,0.31857351363518,0.00826486384187125,0.54171692509791,0.00784369556862555,0.0126914406472559,20,0.999974255311433,0.422,"Thermomicrobiota","Cuba8_Control",0.00784369556862555,0.0126914406472559,"Control",-0.0044772166267714
"Thermoplasmatota",0.000327120197815194,0.31857351363518,0.000391798441127627,0.834919600174306,0.000708915797310005,6.98365161684367e-05,49,0.99998140156398,0.135,"Thermoplasmatota","Cuba8_Control",0.000708915797310005,6.98365161684367e-05,"AMF",0.000327120197815194
"Thermoproteota",6.57989623908544e-05,0.31857351363518,5.14496789991926e-05,1.27889937645455,0.00020276462971492,7.63892693511314e-05,18,0.99998852053071,0.719,"Thermoproteota","Cuba8_Control",0.00020276462971492,7.63892693511314e-05,"AMF",6.57989623908544e-05
"Thermosulfidibacterota",2.27660678298598e-06,0.31857351363518,1.60052109356833e-06,1.42241598197892,5.75451827913571e-06,2.21062756570409e-06,22,0.999994517008572,0.234,"Thermosulfidibacterota","Cuba8_Control",5.75451827913571e-06,2.21062756570409e-06,"AMF",2.27660678298598e-06
"Thermotogota",0.000461990485070491,0.31857351363518,0.00109936540874183,0.420233783414394,0.000329818577104686,0.000761332080313313,11,1,0.507,"Thermotogota","Cuba8_Control",0.000329818577104686,0.000761332080313313,"Control",-0.000461990485070491
"Verrucomicrobiota",0.00781343139986896,0.31857351363518,0.00638815308334048,1.22311273664456,0.0201132530739118,0.0158627825931946,17,1,0.811,"Verrucomicrobiota","Cuba8_Control",0.0201132530739118,0.0158627825931946,"AMF",0.00781343139986896
"Vulcanimicrobiota",6.97490850025385e-05,0.31857351363518,5.17364926385247e-05,1.34816029161206,0.000176986658637342,0.000238747196882981,45,1,0.927,"Vulcanimicrobiota","Cuba8_Control",0.000176986658637342,0.000238747196882981,"Control",-6.97490850025385e-05
"Abditibacteriota",0.000221762185014079,0.311540484112756,0.000218924619802174,1.0129613801064,0.000492567951251194,0.000724907884186361,3,0.227472096299129,0.406,"Abditibacteriota","DAOM197198_Control",0.000492567951251194,0.000724907884186361,"Control",-0.000221762185014079
"Acidobacteriota",0.0378035183025942,0.311540484112756,0.0315692759460164,1.19747815462218,0.149959997465684,0.10393108238274,8,0.355581240334599,0.538,"Acidobacteriota","DAOM197198_Control",0.149959997465684,0.10393108238274,"AMF",0.0378035183025942
"Actinomycetota",0.0708667670031741,0.311540484112756,0.0513400395944152,1.38034110536376,0.220880619397439,0.276733171319453,2,0.476925079194758,0.227,"Actinomycetota","DAOM197198_Control",0.220880619397439,0.276733171319453,"Control",-0.0708667670031741
"Aquificota",7.77184202905456e-06,0.311540484112756,5.6621615832972e-06,1.37259276598194,2.12945037146517e-05,1.8243700152442e-05,19,0.57633173454128,0.816,"Aquificota","DAOM197198_Control",2.12945037146517e-05,1.8243700152442e-05,"AMF",7.77184202905456e-06
"Armatimonadota",0.00208306316495938,0.311540484112756,0.00162582896515957,1.28123142692007,0.0056705264670213,0.00385836551199255,40,0.674438610872097,0.034,"Armatimonadota","DAOM197198_Control",0.0056705264670213,0.00385836551199255,"AMF",0.00208306316495938
"Atribacterota",1.07563633667117e-05,0.311540484112756,6.70568948149737e-06,1.60406523391683,2.83641984882393e-05,1.11059579175319e-05,7,0.735584417492198,0.504,"Atribacterota","DAOM197198_Control",2.83641984882393e-05,1.11059579175319e-05,"AMF",1.07563633667117e-05
"Bacillota",0.0190493941958912,0.311540484112756,0.0182632006919956,1.043047958414,0.0336698884970945,0.055443859472421,33,0.785305999919345,0.224,"Bacillota","DAOM197198_Control",0.0336698884970945,0.055443859472421,"Control",-0.0190493941958912
"Bacteroidota",0.0399111847520809,0.311540484112756,0.0561521161605943,0.710769023164423,0.0482587730681823,0.119604292995662,38,0.830791226231774,0.023,"Bacteroidota","DAOM197198_Control",0.0482587730681823,0.119604292995662,"Control",-0.0399111847520809
"Balneolota",5.69432259833137e-05,0.311540484112756,5.2185058661738e-05,1.09117872900015,0.000140290612470553,0.000168265206616029,16,0.869784663621037,0.165,"Balneolota","DAOM197198_Control",0.000140290612470553,0.000168265206616029,"Control",-5.69432259833137e-05
"Bdellovibrionota",0.000813300242904962,0.311540484112756,0.00122521708395716,0.663800932548372,0.00199578967007709,0.000447079674327389,51,0.896559504607606,0.061,"Bdellovibrionota","DAOM197198_Control",0.00199578967007709,0.000447079674327389,"AMF",0.000813300242904962
"Caldisericota",1.31505554874758e-06,0.311540484112756,1.75826319876489e-06,0.747928722884804,2.56267278753858e-06,3.90820889617712e-07,27,0.923080867867894,0.659,"Caldisericota","DAOM197198_Control",2.56267278753858e-06,3.90820889617712e-07,"AMF",1.31505554874758e-06
"Calditrichota",1.57211207010645e-05,0.311540484112756,1.26308452586779e-05,1.24466101666977,3.52736447117719e-05,2.10468881743697e-05,37,0.941801801090468,0.782,"Calditrichota","DAOM197198_Control",3.52736447117719e-05,2.10468881743697e-05,"AMF",1.57211207010645e-05
"Campylobacterota",5.95942558518713e-05,0.311540484112756,8.02961018348359e-05,0.742181183022471,0.000143329024887247,0.000149090187259768,46,0.957255072021282,0.121,"Campylobacterota","DAOM197198_Control",0.000143329024887247,0.000149090187259768,"Control",-5.95942558518713e-05
"Chlamydiota",0.000238301782771009,0.311540484112756,0.000481012220972239,0.495417314531728,0.00065759427730131,0.000263007985940253,35,0.972006936054201,0.296,"Chlamydiota","DAOM197198_Control",0.00065759427730131,0.000263007985940253,"AMF",0.000238301782771009
"Chlorobiota",0.000169861333686613,0.311540484112756,0.000178652347720679,0.950792619597645,0.000276043912979735,0.000340064240972581,5,0.978693268236331,0.282,"Chlorobiota","DAOM197198_Control",0.000276043912979735,0.000340064240972581,"Control",-0.000169861333686613
