"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Hofneiviricota",6.96207912532783e-05,0.121007322313196,0.000159302290102358,0.437035721260153,0,0.000139241582506557,6,0.933876392974666,0.395,"Hofneiviricota","DAOM197198_Control"
"Kitrinoviricota",0.00948394429446174,0.121007322313196,0.00960078452957838,0.987830136718862,0.0327203760851026,0.03177887012357,9,0.970459621776307,0.197,"Kitrinoviricota","DAOM197198_Control"
"Lenarviricota",0.0415018867998151,0.121007322313196,0.0315641224801234,1.31484367499682,0.778909644474012,0.807784550842121,4,0.988830209891934,0.923,"Lenarviricota","DAOM197198_Control"
"Negarnaviricota",0.0130341551031862,0.121007322313196,0.0122546414630938,1.06360966515748,0.0325850206228125,0.023621692792898,1,0.99560981410175,0.021,"Negarnaviricota","DAOM197198_Control"
"Nucleocytoviricota",0.00442683855885759,0.121007322313196,0.00405502064649775,1.09169322298789,0.0096502215357424,0.0108593327150908,11,0.997679024473198,0.304,"Nucleocytoviricota","DAOM197198_Control"
"Peploviricota",0,0.121007322313196,0,NA,0,0,3,0.999396573978731,NA,"Peploviricota","DAOM197198_Control"
"Phixviricota",0.000250389606351593,0.121007322313196,0.000567719326179931,0.44104471136541,0.000125524147739778,0.000486537942840817,5,0.99997191760193,0.341,"Phixviricota","DAOM197198_Control"
"Pisuviricota",0.0307831267034616,0.121007322313196,0.0289176938159642,1.06450835600409,0.0938876801341914,0.080591396545998,13,1,0.887,"Pisuviricota","DAOM197198_Control"
"Preplasmiviricota",3.39817579460797e-06,0.121007322313196,1.13134093772226e-05,0.300367084872712,0,6.79635158921594e-06,2,1,0.874,"Preplasmiviricota","DAOM197198_Control"
"Uroviricota",0.0182027687844454,0.121007322313196,0.0247837427177259,0.734464079609185,0.0466111130268223,0.0371497797759731,10,1,0.179,"Uroviricota","DAOM197198_Control"
